FLEXMATCHES — PRODUCT BACKLOG (JIRA-Style),,,,,,,,,,,,,,,
FM-502,Story,E05,Swipe-Mode Like Sends Push Notification,"As a user, I want to be notified when someone likes me in swipe mode, so that I know someone is interested in training with me.",Must Have,P0,2,Eagle 2,Mid Dev,To Do,"AC1: Given User A swipes right on User B in swipe mode, When the match insert succeeds, Then notifyUser() is called for User B with type='match_request'

AC2: Given the notification is sent, When User B receives it, Then it says '[Name] wants to connect with you!'","• Verify swipe-right triggers push notification to receiver
• Verify notification content includes sender's name
• Verify duplicate swipes don't send multiple notifications","? All ACs verified (happy + failure path)
? Loading/error/success states exist
? No console errors or warnings
? Tested on iOS + Android
? Code reviewed with 1+ approval
? Theme verified in dark + light mode
? No hardcoded colors
? Accessibility labels on new elements","?? NO DESIGN NEEDED:
Backend notification wiring","? Swipe-right triggers push
? Notification includes sender name
? No duplicate notifications"
FM-503,Story,E05,Session Proposal & Response Notifications,"As a user, I want session proposals and responses to notify both sides, so that the session coordination loop is complete.",Must Have,P0,4,Eagle 2,Mid Dev,To Do,"AC1: Given I propose a session, When the insert succeeds, Then my partner receives a push with type='session_proposed' saying '[Name] proposed a workout: [Sport] on [Date]'

AC2: Given my partner accepts my session, When the update succeeds, Then I receive a push with type='session_accepted' saying '[Name] accepted your session!'

AC3: Given my partner declines, When the update succeeds, Then I receive a push with type='session_declined' saying '[Name] can't make the session'","• Verify session proposal triggers push to partner
• Verify session accept triggers push to proposer
• Verify session decline triggers push to proposer
• Verify all notifications include correct names and session details","? All ACs verified (happy + failure path)
? Loading/error/success states exist
? No console errors or warnings
? Tested on iOS + Android
? Code reviewed with 1+ approval
? Theme verified in dark + light mode
? No hardcoded colors
? Accessibility labels on new elements","?? NO DESIGN NEEDED:
Backend notification wiring","? Proposal notifies partner
? Accept notifies proposer
? Decline notifies proposer"
FM-504,Story,E05,Realtime Subscription User Filter (Security),"As a user, I want to only receive realtime events for my own messages, so that other users' message content is never visible to me.",Must Have,P0,4,Eagle 2,Senior Dev,To Do,"AC1: Given I am in a chat screen, When the realtime subscription is created, Then it includes a filter: match_id=eq.${currentMatchId}

AC2: Given User A sends a message to User B, When User C is also connected to realtime, Then User C's client never receives User A's message payload","• Verify subscription filter is set correctly in code review
• Verify with 2 test accounts that messages don't leak between conversations
• Verify realtime still works correctly for the intended conversation","? All ACs verified (happy + failure path)
? Loading/error/success states exist
? No console errors or warnings
? Tested on iOS + Android
? Code reviewed with 1+ approval
? Theme verified in dark + light mode
? No hardcoded colors
? Accessibility labels on new elements","?? NO DESIGN NEEDED:
Security fix only","? Subscription filter set correctly
? Messages don't leak between users
? Realtime still works for intended conversation"
FM-505,Story,E05,Push Token Cleanup on Logout,"As a user, I want my push tokens removed when I sign out, so that the next person on this device doesn't receive my notifications.",Must Have,P0,2,Eagle 2,Senior Dev,To Do,"AC1: Given I am signed in and have a push token stored, When I tap Sign Out in Settings, Then unregisterPushToken() is called BEFORE signOut()

AC2: Given I sign out and another user signs in, When notifications are sent to my account, Then this device does NOT receive them","• Verify push token is removed from DB on logout
• Verify token removal happens before auth signout
• Verify new user on same device only gets their own notifications","? All ACs verified (happy + failure path)
? Loading/error/success states exist
? No console errors or warnings
? Tested on iOS + Android
? Code reviewed with 1+ approval
? Theme verified in dark + light mode
? No hardcoded colors
? Accessibility labels on new elements","?? NO DESIGN NEEDED:
Backend cleanup logic","? Token removed from DB on logout
? Removal happens before signout
? New user doesn't get old user's notifications"
E06,Epic,—,Trust System Unification,Epic: Trust System Unification,,,,,,,,,,,
FM-601,Story,E06,Unified Tier System (Single Source of Truth),"As a user, I want my tier label to be consistent on every screen, so that I can trust the gamification system.",Must Have,P0,5,Eagle 3,Senior Dev,To Do,"AC1: Given my profile shows 'Gold' tier, When I open the Leaderboard, Then it also shows 'Gold' tier (same calculation)

AC2: Given the tier system, When any screen calculates tier, Then it uses the single calcTier() function from lib/badges.ts

AC3: Given the leaderboard, When it was using streak-based tiers (0/50/100/200/500), Then that is removed and replaced with the points-based system","• Verify same user shows identical tier on Profile, Leaderboard, and any other surface
• Verify all tier calculation references point to lib/badges.ts
• Verify old streak-based tier code is fully removed from leaderboard","? All ACs verified (happy + failure path)
? Loading/error/success states exist
? No console errors or warnings
? Tested on iOS + Android
? Code reviewed with 1+ approval
? Theme verified in dark + light mode
? No hardcoded colors
? Accessibility labels on new elements","?? MINIMAL DESIGN:
Verify tier badges look consistent

Designer review: Visual consistency check","? Same tier on Profile and Leaderboard
? All calculations use lib/badges.ts
? Old streak-based tier code removed"
FM-602,Story,E06,Mutual Session Confirmation,"As a user, I want completed-session stats to update fairly, so that one person confirming doesn't credit both without consent.",Should Have,P1,5,Eagle 3,Senior Dev,To Do,"AC1: Given User A confirms a session, When the confirmation saves, Then only User A's confirmed_by flag is set (not both users' stats)

AC2: Given both User A and User B have confirmed, When the system checks, Then sessions_completed increments for both users

AC3: Given User A reports no-show, When the report saves, Then only User B's sessions_no_show increments (not User A's)

AC4: Given any stat update, When it executes, Then it uses an atomic Supabase RPC (not read-modify-write)","• Verify one-sided confirmation only updates confirming user's flag
• Verify stats only increment when both users have confirmed
• Verify no-show does not penalize the reporter
• Verify concurrent confirmations don't lose data (race condition test)","? All ACs verified (happy + failure path)
? Loading/error/success states exist
? No console errors or warnings
? Tested on iOS + Android
? Code reviewed with 1+ approval
? Theme verified in dark + light mode
? No hardcoded colors
? Accessibility labels on new elements","?? NO DESIGN NEEDED:
Backend logic only","? One-sided confirm only sets confirming user's flag
? Stats increment when BOTH confirm
? No-show doesn't penalize reporter"
FM-603,Story,E06,"Date Pickers Replace Raw Text (Sessions, Goals, Challenges)","As a user, I want proper date pickers when entering dates, so that I never see 'NaN days left' from invalid input.",Should Have,P1,3,Eagle 3,Mid Dev,To Do,"AC1: Given I am proposing a session, When I need to enter a date, Then a native DatePicker component appears (not a TextInput)

AC2: Given I am creating a goal with a deadline, When I enter the date, Then a DatePicker is shown and past dates are rejected

AC3: Given I am creating a challenge with an end date, When I enter the date, Then a DatePicker is shown and past dates are rejected","• Verify DatePicker appears on session propose, goal create, challenge create
• Verify past dates are visually disabled and cannot be selected
• Verify selected date is stored in correct YYYY-MM-DD format
• Verify 'NaN days left' no longer appears anywhere in the app","? All ACs verified (happy + failure path)
? Loading/error/success states exist
? No console errors or warnings
? Tested on iOS + Android
? Code reviewed with 1+ approval
? Theme verified in dark + light mode
? No hardcoded colors
? Accessibility labels on new elements","?? DESIGN NEEDED:
• DatePicker integration style for sessions, goals, challenges

Designer delivers: DatePicker style guidance","? DatePicker on all 3 locations
? Past dates disabled
? Correct format stored
? No 'NaN' anywhere"
E07,Epic,—,Security & App Store Compliance,Epic: Security & App Store Compliance,,,,,,,,,,,
FM-701,Story,E07,iOS In-App Purchase for Pro Subscription,"As a user on iOS, I want to subscribe to Pro via Apple's payment system, so that the app complies with App Store rules and my purchase is managed through my Apple account.",Must Have,P0,8,Eagle 3,Senior Dev,To Do,"AC1: Given I am on iOS and tap 'Go Pro', When the purchase flow starts, Then it uses react-native-iap to present Apple's native purchase sheet

AC2: Given I complete the purchase, When the transaction is verified, Then my is_pro flag is set to true and Pro features are unlocked

AC3: Given I am on Android, When I tap 'Go Pro', Then Stripe web checkout is still used (Android allows this)","• Verify iOS purchase uses IAP, not web Stripe
• Verify purchase receipt is validated server-side
• Verify Pro features unlock after successful purchase
• Verify subscription shows in user's Apple subscriptions settings","? All ACs verified (happy + failure path)
? Loading/error/success states exist
? No console errors or warnings
? Tested on iOS + Android
? Code reviewed with 1+ approval
? Theme verified in dark + light mode
? No hardcoded colors
? Accessibility labels on new elements","?? DESIGN NEEDED:
• Pro purchase flow for iOS (IAP native sheet)

Designer delivers: Purchase flow UX","? iOS uses IAP
? Receipt validated server-side
? Pro features unlock after purchase"
FM-702,Story,E07,Admin Actions to Supabase Edge Functions,"As the product owner, I want admin operations secured server-side, so that no regular user can execute admin actions by manipulating client-side code.",Must Have,P0,5,Eagle 3,Senior Dev,To Do,"AC1: Given an admin user taps 'Ban User', When the action executes, Then it calls a Supabase Edge Function (not a direct client update)

AC2: Given a non-admin user, When they attempt to call the admin Edge Function, Then the function rejects with 403 Forbidden

AC3: Given the Edge Function, When it runs, Then it uses the service-role key and verifies the caller's is_admin status from the database","• Verify admin actions call Edge Function, not direct Supabase update
• Verify Edge Function rejects non-admin callers
• Verify is_admin check happens on server, not client","? All ACs verified (happy + failure path)
? Loading/error/success states exist
? No console errors or warnings
? Tested on iOS + Android
? Code reviewed with 1+ approval
? Theme verified in dark + light mode
? No hardcoded colors
? Accessibility labels on new elements","?? NO DESIGN NEEDED:
Backend security","? Admin calls Edge Function
? Non-admin rejected with 403
? Server-side is_admin check"
FM-703,Story,E07,Search Input Sanitization (Injection Fix),"As a user, I want search to be safe and secure, so that crafted inputs cannot manipulate database queries.",Must Have,P0,3,Eagle 3,Senior Dev,To Do,"AC1: Given I type a search query, When the query is sent to Supabase, Then the input is sanitized (special characters escaped) or routed through an RPC function

AC2: Given I enter a malicious string like '%,id.neq.', When the search executes, Then only legitimate matching usernames are returned","• Verify special characters in search don't alter query logic
• Verify injection attempt returns no results (not all results)
• Verify search still works correctly for normal queries","? All ACs verified (happy + failure path)
? Loading/error/success states exist
? No console errors or warnings
? Tested on iOS + Android
? Code reviewed with 1+ approval
? Theme verified in dark + light mode
? No hardcoded colors
? Accessibility labels on new elements","?? NO DESIGN NEEDED:
Security fix","? Special chars don't alter query
? Injection returns no results
? Normal search still works"
FM-704,Story,E07,Terms & Privacy Policy (Tappable Links + Real Documents),"As a user, I want to read the actual Terms of Service and Privacy Policy, so that I know how my data is used before agreeing.",Must Have,P0,3,Eagle 3,Mid Dev,To Do,"AC1: Given I am on the Welcome or Register screen, When I see the legal text, Then 'Terms' and 'Privacy Policy' are tappable links (not plain text)

AC2: Given I tap either link, When the browser opens, Then it navigates to real, hosted legal documents

AC3: Given the Settings screen, When I look for legal links, Then Terms and Privacy Policy are accessible there too","• Verify links are tappable on Welcome, Register, and Settings
• Verify links open actual hosted documents (not 404)
• Verify documents cover data usage, deletion, and contact information","? All ACs verified (happy + failure path)
? Loading/error/success states exist
? No console errors or warnings
? Tested on iOS + Android
? Code reviewed with 1+ approval
? Theme verified in dark + light mode
? No hardcoded colors
? Accessibility labels on new elements","?? DESIGN NEEDED:
• Legal link placement on Welcome, Register, Settings

Designer delivers: Link placement mockup","? Links tappable on 3 screens
? Documents load (not 404)
? Content covers data usage + deletion"
E08,Epic,—,Theme & Visual Consistency,Epic: Theme & Visual Consistency,,,,,,,,,,,
FM-801,Story,E08,Dark/Light Theme Audit — All Hardcoded Colors,"As a user, I want both dark and light themes to look correct on every screen, so that the app feels polished and intentional.",Should Have,P1,5,Eagle 4,Mid Dev,To Do,"AC1: Given I switch to dark mode, When I navigate through every screen, Then no white backgrounds, black text on dark backgrounds, or jarring color mismatches appear

AC2: Given I switch to light mode, When I navigate through every screen, Then no dark tiles, invisible text, or broken contrast appears

AC3: Given any color in any StyleSheet, When inspecting the code, Then all colors come from useTheme() — zero hardcoded hex values","• Walk through all 22 screens in dark mode — screenshot each
• Walk through all 22 screens in light mode — screenshot each
• Code review: grep for hardcoded hex colors in all .tsx files
• Verify ConversationRow, Search, GymTile, Messages SafeAreaView all use theme","? All ACs verified (happy + failure path)
? Loading/error/success states exist
? No console errors or warnings
? Tested on iOS + Android
? Code reviewed with 1+ approval
? Theme verified in dark + light mode
? No hardcoded colors
? Accessibility labels on new elements","?? DESIGN NEEDED:
• Full theme audit — screenshot every screen in both modes

Designer delivers: Theme audit report with issues","? All 22 screens correct in dark mode
? All 22 screens correct in light mode
? Zero hardcoded hex colors in codebase"
FM-802,Story,E08,Messages N+1 Query Optimization,"As a user, I want the Messages screen to load quickly even with 50+ conversations, so that I don't wait for slow loading.",Should Have,P1,5,Eagle 4,Senior Dev,To Do,"AC1: Given I have 50 accepted matches, When I open the Messages tab, Then the conversations load in under 2 seconds

AC2: Given the Messages screen, When it loads data, Then it uses a single Supabase RPC or join query (not 3 queries per conversation)","• Verify Messages loads in <2s with 50 conversations
• Verify total Supabase requests reduced from 90+ to 1-3
• Verify conversation data (last message, avatar, name) still displays correctly","? All ACs verified (happy + failure path)
? Loading/error/success states exist
? No console errors or warnings
? Tested on iOS + Android
? Code reviewed with 1+ approval
? Theme verified in dark + light mode
? No hardcoded colors
? Accessibility labels on new elements","?? NO DESIGN NEEDED:
Performance optimization","? Messages loads <2s with 50 conversations
? Requests reduced from 90+ to 1-3
? Data still displays correctly"
FM-803,Story,E08,Discover Pagination (Replace 80-User Hard Cap),"As a user, I want to discover all relevant users, not just the first 80, so that I don't miss potential workout partners.",Should Have,P1,5,Eagle 4,Senior Dev,To Do,"AC1: Given there are 200+ users in my area, When I browse Discover, Then I can see all of them through cursor-based pagination or infinite scroll

AC2: Given I scroll to the end of the current batch, When more users exist, Then a new batch loads automatically

AC3: Given Discover in swipe mode, When I run out of cards, Then a refresh button or automatic reload shows the next batch","• Verify more than 80 users are accessible in list mode
• Verify pagination loads smoothly without duplicates
• Verify all 3 view modes (list, swipe, map) support refreshing","? All ACs verified (happy + failure path)
? Loading/error/success states exist
? No console errors or warnings
? Tested on iOS + Android
? Code reviewed with 1+ approval
? Theme verified in dark + light mode
? No hardcoded colors
? Accessibility labels on new elements","?? MINIMAL DESIGN:
• 'Load more' or infinite scroll indicator

Designer review: Loading indicator style","? >80 users accessible
? Pagination loads without duplicates
? All 3 view modes support refresh"
FM-804,Story,E08,SwipeDeck PanResponder Fix (Allow Card Taps),"As a user, I want to tap on swipe cards to view profile details, so that I can learn about someone before deciding to connect.",Should Have,P1,3,Eagle 4,Senior Dev,To Do,"AC1: Given I am in swipe mode on Discover, When I tap the info button or card body, Then the profile sheet opens

AC2: Given I want to swipe, When I drag the card left or right, Then the swipe gesture still works correctly

AC3: Given the PanResponder, When the code is reviewed, Then onStartShouldSetPanResponder no longer returns true unconditionally","• Verify tap on card opens profile sheet
• Verify swipe left/right still works correctly
• Verify info button tap fires correctly
• Verify no gesture conflicts between tap and swipe","? All ACs verified (happy + failure path)
? Loading/error/success states exist
? No console errors or warnings
? Tested on iOS + Android
? Code reviewed with 1+ approval
? Theme verified in dark + light mode
? No hardcoded colors
? Accessibility labels on new elements","?? NO DESIGN NEEDED:
Gesture fix only","? Tap opens profile sheet
? Swipe still works
? No gesture conflicts"
E09,Epic,—,Input Validation & UX Polish,Epic: Input Validation & UX Polish,,,,,,,,,,,
FM-901,Story,E09,Negative Value Validation (Age/Weight/Duration/Progress),"As a user, I want the app to reject obviously invalid inputs, so that my profile and stats show real data.",Should Have,P1,2,Eagle 4,Mid Dev,To Do,"AC1: Given I edit my profile age, When I enter -5 or 0 or 999, Then inline validation rejects it with 'Please enter a valid age (13-120)'

AC2: Given I log a workout duration, When I enter a negative number, Then it is clamped to minimum 1

AC3: Given I update challenge progress, When I enter -100, Then it is clamped to 0","• Verify negative ages, weights, and durations are rejected
• Verify boundary values (0, 1, max) are handled correctly","? All ACs verified (happy + failure path)
? Loading/error/success states exist
? No console errors or warnings
? Tested on iOS + Android
? Code reviewed with 1+ approval
? Theme verified in dark + light mode
? No hardcoded colors
? Accessibility labels on new elements","?? NO DESIGN NEEDED:
Validation logic","? Negative values rejected
? Boundary values handled"
FM-902,Story,E09,Keyboard Handling on All Modals,"As a user, I want all form modals to be usable with the keyboard open, so that I can always reach the submit button.",Should Have,P1,3,Eagle 4,Mid Dev,To Do,"AC1: Given I open any modal with a text input (log workout, compose post, report bug), When the keyboard opens, Then the content scrolls and the submit button is visible above the keyboard","• Verify log workout modal is scrollable with keyboard open on small screen (iPhone SE)
• Verify compose post modal submit button is reachable
• Verify report bug modal in settings is usable with keyboard","? All ACs verified (happy + failure path)
? Loading/error/success states exist
? No console errors or warnings
? Tested on iOS + Android
? Code reviewed with 1+ approval
? Theme verified in dark + light mode
? No hardcoded colors
? Accessibility labels on new elements","?? NO DESIGN NEEDED:
Layout fix",? Submit button reachable with keyboard on iPhone SE
FM-903,Story,E09,Loading States on All Async Buttons,"As a user, I want buttons to show they're working when I tap them, so that I know the app is responding and I don't tap again.",Should Have,P1,3,Eagle 4,Mid Dev,To Do,"AC1: Given I tap any async action button (Connect, Accept, Send, Propose, Join, Leave), When the request is in-flight, Then the button shows a spinner and is disabled

AC2: Given the request completes (success or failure), When the response is received, Then the button returns to its normal state","• Verify all async buttons show loading state (audit each screen)
• Verify double-tap prevention works on all buttons
• Verify buttons re-enable after failure (not stuck disabled)","? All ACs verified (happy + failure path)
? Loading/error/success states exist
? No console errors or warnings
? Tested on iOS + Android
? Code reviewed with 1+ approval
? Theme verified in dark + light mode
? No hardcoded colors
? Accessibility labels on new elements","?? MINIMAL DESIGN:
• Loading spinner style on buttons

Designer review: Quick review","? All async buttons show loading state
? Double-tap prevented
? Buttons re-enable after failure"
FM-904,Story,E09,useFocusEffect on Stale Screens,"As a user, I want fresh data when I return to a tab, so that I see the latest matches, messages, and activity.",Should Have,P1,3,Eagle 5,Mid Dev,To Do,"AC1: Given I accept a match on the Home screen, When I navigate to the Connections tab, Then the new connection is visible immediately

AC2: Given I return to Discover after switching tabs, When the data is older than 30 seconds, Then it automatically refreshes

AC3: Given any tab with stale data, When I return to it, Then the load function is called with a staleness check","• Verify Matches/Connections tab refreshes on focus
• Verify Discover refreshes on focus if stale
• Verify no unnecessary re-fetches when data is fresh (<30s)","? All ACs verified (happy + failure path)
? Loading/error/success states exist
? No console errors or warnings
? Tested on iOS + Android
? Code reviewed with 1+ approval
? Theme verified in dark + light mode
? No hardcoded colors
? Accessibility labels on new elements","?? NO DESIGN NEEDED:
Data refresh logic","? Connections tab refreshes on focus
? Discover refreshes if stale
? No unnecessary re-fetches"
E10,Epic,—,Accessibility & Growth,Epic: Accessibility & Growth,,,,,,,,,,,
FM-1001,Story,E10,Accessibility Labels on All Interactive Elements,"As a user with a screen reader, I want all buttons, inputs, and cards to have accessibility labels, so that I can navigate and use the app.",Could Have,P2,5,Eagle 5,Mid Dev,To Do,"AC1: Given any interactive element (button, card, input, toggle), When a screen reader is active, Then the element has a descriptive accessibilityLabel

AC2: Given any button, When a screen reader reads it, Then accessibilityRole='button' is set

AC3: Given the tab bar, When a screen reader navigates, Then each tab has a label describing its purpose","• Test full app flow with VoiceOver (iOS) and TalkBack (Android)
• Verify all buttons announce their purpose
• Verify form inputs announce their labels
• Verify navigation is logical (no focus traps)","? All ACs verified (happy + failure path)
? Loading/error/success states exist
? No console errors or warnings
? Tested on iOS + Android
? Code reviewed with 1+ approval
? Theme verified in dark + light mode
? No hardcoded colors
? Accessibility labels on new elements","?? DESIGN NEEDED:
• Accessibility label guidelines
• Focus order documentation

Designer delivers: A11y annotation guide","? VoiceOver full flow test
? TalkBack full flow test
? All buttons announce purpose
? No focus traps"
FM-1002,Story,E10,Google Places Autocomplete for City,"As a new user, I want city autocomplete during onboarding and profile edit, so that my location is accurate for matching.",Should Have,P1,3,Eagle 5,Mid Dev,To Do,"AC1: Given I am on onboarding step 4 (City) or editing my profile city, When I start typing, Then Google Places autocomplete suggestions appear

AC2: Given I select a suggestion, When it is saved, Then the standardized city name is stored (not a typo like 'new yrok')","• Verify autocomplete works on onboarding and profile edit
• Verify selected city is stored in standardized format
• Verify manual entry is still possible if autocomplete fails","? All ACs verified (happy + failure path)
? Loading/error/success states exist
? No console errors or warnings
? Tested on iOS + Android
? Code reviewed with 1+ approval
? Theme verified in dark + light mode
? No hardcoded colors
? Accessibility labels on new elements","?? DESIGN NEEDED:
• Autocomplete dropdown style for city input

Designer delivers: Autocomplete component mockup","? Autocomplete works on onboarding + profile
? Standardized city name stored
? Manual entry fallback works"
FM-1003,Story,E10,Circle Capacity Enforcement,"As a circle creator, I want the max member limit to be enforced, so that circles don't grow beyond their intended size.",Could Have,P2,2,Eagle 5,Mid Dev,To Do,"AC1: Given a circle has reached max_members, When another user tries to join, Then they see 'This circle is full' and the Join button is disabled

AC2: Given a circle has no max_members set, When anyone tries to join, Then they can join without restriction","• Verify join is blocked when circle is at capacity
• Verify correct member count displayed
• Verify circles without max_members allow unlimited joins","? All ACs verified (happy + failure path)
? Loading/error/success states exist
? No console errors or warnings
? Tested on iOS + Android
? Code reviewed with 1+ approval
? Theme verified in dark + light mode
? No hardcoded colors
? Accessibility labels on new elements","?? MINIMAL DESIGN:
• 'Circle is full' state on join button

Designer review: Disabled state","? Join blocked at capacity
? Correct count displayed
? No-limit circles still work"
FM-1004,Story,E10,Ended Challenges Block Progress Updates,"As a user, I want ended challenges to prevent further progress updates, so that results are final and fair.",Could Have,P2,2,Eagle 5,Mid Dev,To Do,"AC1: Given a challenge has passed its end_date, When I open the challenge detail, Then the progress form is disabled/hidden

AC2: Given an ended challenge, When I view the leaderboard, Then final results are shown as-is with no update option","• Verify progress form is disabled after end_date
• Verify ended challenges show final results
• Verify active challenges still allow progress updates","? All ACs verified (happy + failure path)
? Loading/error/success states exist
? No console errors or warnings
? Tested on iOS + Android
? Code reviewed with 1+ approval
? Theme verified in dark + light mode
? No hardcoded colors
? Accessibility labels on new elements","?? MINIMAL DESIGN:
• Ended challenge visual treatment

Designer review: Disabled form state","? Progress form disabled after end_date
? Final results shown
? Active challenges still work"
